coin,symbol,coin_id_geckor,hold,wallet_initial,where
Bitcoin,BTC,bitcoin,0.04657214,2027.510623,Binance.com
Ethereum,ETH,ethereum,1.404635,2116.6992,Binance.com
Cardano,ADA,cardano,1429.334322,1390.118873,Binance.com
Voyager Token,VGX,ethos,207,878.4097408,Binance.com
Polkadot,DOT,polkadot,5.38518911,168,Binance.com
Theta Token,THETA,theta-token,46.3,167.7310908,Binance.com
Compound,COMP,compound-governance-token,0.42511,168,Binance.com
Synthetix Network Token,SNX,havven,6.917,125.99076,Binance.com
Aave,AAVE,aave,0.252,83.94106896,Binance.com
Uniswap,UNI,uniswap,3.4,83.7879,Binance.com
